1,5
10,474299
100,754724
101,133958
102,339270
105,21
106,303390
107,1015916
108,205743
109,99518
11,163617
110,285
111,5063
112,1367768
113,801924
114,836306
115,121760
116,634709
117,236346
118,146379
119,477820
12,14327
120,13502
121,316894
122,177482
123,416922
124,218285
125,498279
126,443368
127,513797
128,41587
129,1090703
13,619242
130,1124465
131,224990
132,2458703
133,268264
134,328946
135,251674
136,376979
137,728729
138,2821834
139,287533
14,776139
140,798543
141,889330
142,901867
143,681360
144,942145
145,1189858
146,355643
147,301109
148,1383373
149,343971
15,102745
150,152652
151,388800
152,305494
153,133320
154,12496
155,391274
156,200689
157,457607
158,804275
159,644906
16,288885
160,315753
161,1646418
162,1109571
163,1139913
164,1387966
165,430152
166,575374
167,532050
168,922450
169,663886
17,1138205
170,1233897
171,282515
172,92382
173,354037
174,610846
175,111515
176,50835
177,590652
178,141460
179,500083
18,679151
180,243748
181,1374490
182,377452
183,185576
184,37312
185,459515
186,861554
187,107640
188,1068319
189,515897
19,130489
190,83209
191,429322
192,186256
193,225233
194,31483
195,278353
196,369089
197,626937
198,894243
199,46
2,345
20,424838
200,292018
201,99779
202,94197
203,287913
204,38436
205,611648
206,297788
207,24295
208,466097
209,296218
21,377214
210,454318
211,771160
212,381392
213,690219
214,122617
215,453434
216,959503
217,245735
218,306046
219,277823
22,497988
220,508672
221,206342
222,176452
223,694163
224,281921
225,1116132
226,863298
227,354952
228,715388
229,786574
23,220803
230,1679357
231,1536969
232,590745
233,757929
234,1460366
235,597621
236,962503
237,1135524
238,683191
239,834004
24,187646
240,102961
241,537060
242,566720
243,763155
244,1072528
245,113837
246,1434394
247,733559
248,349581
249,1216864
25,824334
250,351639
251,113855
252,186582
253,5182
254,709257
255,1410638
256,1179706
257,217162
258,463890
259,488703
26,724891
260,628836
261,508061
262,481223
263,733810
264,5
265,5836
27,10666
28,356144
29,288785
3,326147
30,7852
31,58107
32,354916
33,663535
34,119194
35,854187
36,1141172
37,1546257
38,182917
39,1047978
4,400970
40,337648
41,918489
42,1258824
43,201195
44,63184
45,346127
46,29372
47,474128
48,1335300
49,849905
5,41122
50,742630
51,551251
52,217372
53,211901
54,82721
55,398801
56,432274
57,32754
58,47920
59,17242
6,83212
60,326320
61,1824277
62,514364
63,453867
64,95849
65,652685
66,529507
67,254675
68,1467828
69,725147
7,1349422
70,336222
71,609460
72,703757
73,147211
74,979759
75,869458
76,1550897
77,412710
78,631384
79,1685041
8,5784
80,1097946
81,409836
82,1014462
83,335927
84,67065
85,444879
86,328245
87,851471
88,340252
89,1121661
9,129045
90,915679
91,693680
92,753171
93,94093
94,297625
95,971128
96,21221
97,921852
98,134787
99,3432
